DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
102,167,119,65,31,101,166,118,65,30,Backward
131,165,126,63,32,133,166,125,63,31,Backward
134,181,93,70,35,132,183,93,69,34,Backward
112,170,88,71,34,113,168,91,70,34,Backward
154,165,98,70,37,157,165,102,69,36,Backward
138,123,96,67,36,140,121,100,66,36,Right
142,118,94,60,35,140,118,96,60,36,Right
254,136,78,70,36,253,136,75,69,37,Right
274,125,71,59,34,271,129,72,59,34,Right
270,137,78,61,34,269,141,79,60,34,Right
271,142,96,64,33,270,146,95,64,32,Right
276,128,98,61,35,276,131,99,60,34,Right
91,112,116,69,34,95,115,118,69,33,Right
99,136,107,73,32,102,137,105,73,31,Right
111,139,97,69,36,114,140,95,67,35,Left
123,140,116,67,32,122,139,113,66,33,Left
125,128,112,65,34,125,126,108,65,35,Left
146,90,106,60,36,141,89,101,59,36,Left
137,103,98,58,34,135,102,92,58,35,Left
137,109,94,64,31,138,108,88,64,33,Left
154,105,79,64,34,154,103,76,65,35,Left
140,97,80,66,37,141,96,77,66,37,Left
138,96,75,70,36,140,95,76,71,37,Left
121,97,69,68,37,120,94,72,68,38,Left
116,100,71,71,36,112,98,73,71,36,Left
195,154,85,67,34,197,154,85,67,34,Forward
223,150,96,57,32,223,149,98,57,32,Forward
220,172,100,59,33,220,173,102,57,33,Forward
231,180,89,57,33,231,182,89,56,33,Forward
239,169,98,60,33,241,170,99,59,33,Forward
243,143,58,59,33,241,144,60,60,34,Forward
130,133,58,57,34,128,133,59,59,35,Forward
143,102,65,55,33,137,101,67,57,34,Backward
141,99,66,51,34,141,98,70,53,35,Backward
134,92,69,51,35,131,91,71,53,36,Backward
130,84,59,50,35,129,81,62,51,36,Backward
88,94,56,50,34,87,89,58,51,35,Backward
96,62,73,57,37,98,61,72,59,38,Backward
101,66,70,52,35,100,67,71,54,36,Backward
142,136,65,58,34,143,137,66,58,35,Right
144,141,72,57,33,145,141,74,58,34,Right
136,123,71,57,33,136,124,73,58,33,Right
137,139,68,53,33,135,141,69,54,34,Right
117,151,65,54,32,118,153,65,55,32,Left
148,147,68,61,33,148,148,67,61,34,Left
255,158,98,64,34,258,158,96,65,35,Left
287,139,90,65,33,288,140,92,66,32,Left
294,138,91,65,33,292,140,93,65,31,Left
295,125,110,66,31,295,126,111,67,30,Left
273,120,104,68,33,272,120,102,70,34,Left
162,97,70,61,31,160,99,69,61,31,Left
99,85,82,61,33,99,86,81,59,34,Left
102,93,88,66,34,100,94,87,64,35,Left
126,94,58,52,34,126,95,59,51,34,Forward
121,94,70,54,34,121,93,68,55,34,Forward
132,92,58,49,34,133,95,57,50,34,Forward
120,112,70,50,34,118,118,70,53,33,Forward
124,117,73,50,32,126,120,71,52,32,Forward
112,119,80,55,33,115,122,79,56,33,Forward
130,137,58,53,29,132,141,59,54,29,Forward
128,144,63,60,30,132,148,65,60,29,Forward
106,142,69,58,31,106,145,73,58,32,Forward
102,113,59,58,31,103,117,62,57,31,Forward
146,131,55,56,29,146,134,56,55,31,Forward
134,104,55,53,30,136,106,52,51,31,Forward
152,126,55,55,34,155,125,53,54,34,Backward
146,134,62,61,32,146,136,62,59,32,Backward
129,120,61,63,33,129,116,61,62,33,Backward
114,128,56,61,30,117,125,56,60,30,Backward
110,112,50,57,31,114,109,49,55,31,Backward
113,87,49,60,33,114,85,48,58,33,Backward
93,83,59,56,34,95,79,61,55,34,Backward
90,94,70,67,36,94,96,72,67,34,Right
119,113,74,65,34,122,115,75,65,34,Right
122,95,66,66,34,125,99,68,66,33,Right
129,96,70,65,32,131,100,75,65,32,Right
147,92,84,53,31,149,96,87,53,30,Right
113,102,105,59,31,115,107,108,60,31,Right
116,116,123,62,33,117,121,126,62,32,Right
137,128,118,73,33,139,131,122,72,32,Right
121,184,96,75,33,122,186,100,75,32,Right
143,210,90,87,33,144,210,91,88,32,Left
118,201,224,93,30,118,200,227,94,29,Left
140,220,234,98,33,138,216,238,97,33,Left
150,189,246,91,32,148,184,249,91,32,Left
145,190,238,90,30,140,186,240,89,30,Left
125,166,237,89,33,122,164,239,88,32,Left
109,138,111,74,32,109,137,109,72,32,Left
107,144,92,57,33,106,144,92,57,32,Left
116,164,70,51,33,117,167,69,51,32,Left
118,168,71,45,34,119,172,70,45,34,Left
123,160,78,51,34,124,163,80,51,34,Left
146,156,83,54,33,145,155,84,53,33,Left
160,133,137,60,33,160,132,137,58,33,Forward
147,107,124,59,32,145,106,125,56,32,Forward
165,99,127,68,32,162,98,128,66,32,Forward
159,115,127,68,33,157,111,128,65,33,Forward
168,114,99,64,33,168,109,100,61,32,Forward
150,114,61,59,35,151,110,62,57,34,Forward
133,121,74,67,36,131,120,76,66,35,Forward
119,144,74,63,37,116,141,77,63,36,Forward
126,131,81,64,35,127,130,85,64,35,Backward
106,153,85,68,39,111,156,87,68,38,Backward
166,171,81,61,37,167,172,83,62,37,Backward
164,162,69,66,37,166,162,67,66,37,Backward
172,146,68,65,37,171,147,70,64,38,Backward
165,140,71,67,40,164,141,73,66,40,Backward
169,134,72,66,40,169,133,74,65,39,Backward
95,86,69,69,40,95,85,69,68,38,Backward
97,87,60,64,36,96,86,63,64,35,Backward
83,109,71,61,35,82,108,73,61,34,Backward
74,115,72,61,35,75,114,75,62,34,Backward
104,139,76,58,35,106,136,77,59,34,Backward
88,125,69,62,35,88,123,68,62,35,Backward
120,191,89,67,35,122,191,89,68,35,Right
120,191,89,67,35,122,191,89,68,35,Right
127,195,113,64,32,129,195,113,65,32,Right
130,186,115,70,33,131,188,116,71,33,Right
128,192,120,57,34,130,193,122,58,34,Right
123,184,120,60,35,123,185,120,59,34,Right
110,132,81,65,35,111,132,80,66,34,Right
132,106,74,59,33,134,105,72,60,33,Right
153,107,90,50,31,156,109,89,50,31,Left
150,103,104,49,34,149,106,102,49,34,Left
132,98,90,50,32,132,99,88,49,32,Left
136,96,98,49,33,135,97,98,49,34,Left
119,108,112,53,34,116,108,109,52,34,Left
76,80,104,59,33,71,82,101,60,34,Left
74,85,96,62,34,72,86,93,61,34,Left
64,119,104,68,36,65,121,101,67,37,Left
68,128,99,72,37,68,127,100,73,37,Left
70,137,94,71,37,73,131,96,72,37,Left
93,132,84,62,38,96,129,89,64,38,Left
103,132,86,69,36,105,130,90,70,37,Forward
114,134,94,59,34,116,132,96,59,35,Forward
135,109,47,58,34,136,109,49,57,34,Forward
141,106,38,63,33,143,105,41,62,34,Forward
133,104,53,63,33,134,104,55,62,32,Forward
