DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
113,126,66,71,29,111,127,67,71,29,Forward
101,131,64,67,29,103,134,65,66,29,Forward
109,132,64,61,34,113,135,66,61,34,Forward
107,131,68,57,35,110,134,71,56,34,Forward
104,147,70,58,37,106,148,76,58,36,Forward
115,96,95,64,33,117,97,97,66,33,Backward
113,89,95,62,34,116,89,97,63,34,Backward
98,133,95,69,35,100,128,94,70,36,Backward
91,157,101,68,38,92,153,100,68,39,Backward
78,146,86,67,39,79,142,86,67,40,Backward
81,131,88,72,40,78,127,88,72,41,Backward
72,118,75,72,34,74,118,76,71,34,Right
102,119,89,76,34,102,118,89,75,34,Right
82,117,106,70,37,82,119,103,70,38,Right
88,121,103,69,37,87,122,100,70,37,Right
85,81,109,67,38,85,83,106,69,38,Right
72,89,107,67,38,72,91,105,68,38,Right
60,111,103,64,39,63,108,102,65,39,Right
50,98,63,58,38,55,99,62,58,38,Right
50,94,56,64,37,53,94,53,65,36,Right
65,95,77,65,36,69,93,73,67,36,Right
69,126,62,57,36,71,126,60,60,36,Right
111,103,70,61,39,117,102,70,64,39,Right
129,122,80,70,33,131,122,84,71,33,Left
134,150,89,70,32,136,152,94,71,32,Left
131,137,92,74,34,132,139,96,76,34,Left
124,148,107,70,35,127,151,109,71,35,Left
122,140,109,76,34,123,141,109,77,34,Left
106,135,102,70,36,110,136,102,71,36,Left
131,113,103,71,36,130,114,105,72,36,Left
125,135,112,68,35,123,134,113,69,35,Left
134,141,96,62,35,130,143,95,62,35,Left
132,168,100,52,30,133,166,95,51,30,Forward
124,158,99,50,31,122,154,97,50,31,Forward
117,136,109,51,31,117,134,107,50,32,Forward
117,133,98,55,34,118,129,99,54,35,Forward
103,114,87,62,34,104,111,86,61,35,Forward
80,114,92,69,36,85,110,92,68,36,Forward
72,95,97,67,34,75,93,96,67,35,Forward
73,136,89,71,33,76,134,92,71,33,Forward
79,135,101,69,32,80,133,100,70,32,Forward
106,134,86,61,35,106,134,85,61,36,Forward
