DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
14396.277392646061, 5630.12000848957, 3267.368680033958, 1805.8496328359606, 2270.581993908207, Left
2623.046516547829, 1492.6563294709238, 987.2049111718858, 921.2151696514991, 2362.7124389453934, Left
2229.6956362254473, 1343.583283423592, 751.0906802912591, 827.0728705631584, 2014.7997879810932, Right
2243.272412839325, 1354.4257680049243, 631.5951378635759, 677.1532607603795, 1166.3447147211568, Right
1939.0695375468943, 1370.644053399533, 745.500885822715, 654.6164373268418, 1620.373311001078, Right
2534.992255801999, 1514.2410925247766, 1151.4728455297238, 672.4435167438918, 1792.154017880277, Right
3115.6200180685933, 1539.6961158261627, 977.706090567425, 680.3086146937151, 1830.685879214673, Right
4475.615361495444, 1927.9285021448252, 970.7504173982887, 1365.6830254156625, 2322.641974124455, Left
4712.292679305622, 3201.7428205921638, 2813.4599760662327, 3058.0027236865985, 2803.3715533792315, Left
4652.42750256861, 3151.4441566358864, 2827.3265855011755, 3145.4428356723242, 2890.7901812437913, Left
4471.553857385351, 3151.7747462902735, 2839.4025144741277, 3154.8490981968307, 3008.3894543327797, Left
4346.594733444049, 3309.0693216655586, 2764.618531041173, 3240.4262767830382, 3061.950527895237, Left
4336.041763372173, 3258.9330703215355, 2791.3453584839936, 3271.2410913572826, 3328.633839347181, Left
4423.384927979256, 3352.8416468236423, 2738.354599024688, 3353.58641529832, 3366.7371553024277, Left
4445.106220952494, 3352.7482276340397, 2731.385449538605, 3426.141568213055, 3363.2974475224887, Left
4327.425371371678, 3386.328441413685, 2742.0793852251322, 3458.7259660210657, 3529.2049779733243, Left
4550.084604288381, 3277.2025960074584, 2801.397832025912, 3425.4644739282417, 3547.8491949356703, Left
3003.725042318603, 2938.778887222923, 2998.8064537086584, 3363.3796108109736, 3543.0488124433064, Left
3009.3855335481294, 2974.8346452255896, 2856.648408518375, 3261.73390236406, 3462.7368720048034, Left
2316.489453677771, 1830.3261002313425, 1054.9840122416288, 1808.971577394643, 3153.899781795979, Left
2654.661425063277, 1947.863660379648, 1184.801856598169, 1876.9008069515164, 3156.8592441955198, Right
2643.478626572789, 1995.39580466026, 1242.736475724384, 1957.0948945945493, 3157.930224901253, Right
2956.0886335945042, 1949.3826617864916, 1259.6022020199111, 2001.197879215904, 3050.499952042159, Right
