DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
6290,4928,1590,438,72,6298,4916,1582,438,70,Left
6384,4950,1625,435,43,6396,4940,1617,433,39,Left
6141,4948,1607,436,46,6154,4937,1599,435,42,Right
960,1253,879,568,170,896,1188,807,533,161,Right
224,756,225,103,22,232,755,231,104,22,Right
688,794,342,125,25,687,794,343,128,26,Right
736,796,363,138,21,735,798,361,138,21,Right
897,916,569,156,22,897,916,569,155,22,Right
857,1002,567,156,21,854,1006,563,156,21,Right
903,1029,468,132,26,901,1036,465,129,25,Left
714,968,480,127,19,712,969,482,126,20,Left
653,1010,419,91,25,647,1007,426,90,26,Left
434,456,230,87,22,433,457,231,88,22,Left
363,450,182,63,16,363,453,184,63,15,Left
341,385,196,59,16,341,386,197,59,16,Left
325,358,226,74,19,322,358,228,75,20,Left
279,194,143,51,14,279,196,143,50,13,Right
432,331,205,76,16,434,332,207,77,16,Right
414,387,233,72,16,413,386,235,72,16,Right
402,397,219,75,17,402,396,221,76,17,Right
399,431,243,79,16,400,429,244,80,16,Right
449,331,173,58,16,449,332,176,59,17,Right
436,334,142,65,16,434,336,143,65,17,Right
296,315,84,53,15,297,315,84,53,16,Right
288,240,63,57,15,288,239,61,57,16,Right
291,211,94,53,15,290,210,93,53,15,Right
277,180,96,51,15,279,179,95,52,15,Right
395,104,107,53,14,397,105,106,52,14,Right
639,377,185,53,14,641,377,184,53,13,Left
628,377,188,58,16,629,378,189,58,15,Left
595,405,189,52,16,595,406,188,53,15,Left
596,389,172,59,16,595,391,172,59,15,Left
611,326,169,58,20,608,325,170,59,20,Right
395,341,201,59,18,397,346,202,58,18,Right
455,370,204,55,17,455,374,206,54,17,Right
465,366,211,55,18,466,365,213,56,18,Right
488,384,195,51,17,487,384,196,51,16,Right
471,365,155,52,16,474,360,155,53,16,Right
399,290,168,44,15,400,287,166,44,15,Right
301,282,161,40,14,303,279,160,40,14,Right
277,241,173,42,16,278,239,174,41,16,Right
156,221,129,48,15,160,220,132,47,15,Right
185,216,128,48,16,187,215,129,47,16,Right
519,368,154,65,17,518,367,153,65,17,Left
587,360,157,62,17,585,360,157,62,17,Left
620,355,146,58,15,619,356,147,58,16,Left
363,409,287,97,26,367,406,289,97,26,Right
506,402,311,98,16,507,400,311,98,17,Right
800,1066,545,113,19,800,1067,548,112,20,Right
838,1086,551,111,18,838,1087,555,110,19,Right
935,1118,495,87,17,933,1119,498,86,19,Right
893,1114,464,112,23,894,1108,469,117,24,Right
706,370,302,62,19,700,372,305,59,19,Right
562,432,220,74,16,566,430,223,74,15,Left
542,344,188,76,14,544,343,189,76,14,Left
512,398,194,70,15,514,398,194,70,15,Left
388,544,132,59,18,390,540,133,59,17,Right
401,467,169,53,14,402,464,166,55,13,Right
420,411,159,52,16,421,410,157,54,16,Right
483,450,142,54,14,485,449,142,56,14,Right
199,306,132,41,15,201,306,130,42,14,Right
388,402,182,63,16,387,401,179,63,15,Left
385,396,161,58,15,385,394,159,58,15,Left
371,372,158,54,15,371,370,159,54,15,Left
369,377,121,53,16,369,375,121,54,15,Left
224,196,167,61,21,228,193,162,59,22,Left
181,156,96,52,15,182,154,94,52,15,Left
220,189,128,56,15,220,187,129,56,15,Left
486,330,304,67,15,486,330,306,68,15,Right
429,364,322,69,15,430,362,325,69,15,Right
435,353,322,79,15,435,353,327,80,15,Right
427,373,314,72,19,428,375,318,70,18,Right
475,337,215,67,17,476,337,218,68,18,Right
193,279,167,63,16,195,277,170,63,16,Right
177,297,144,60,16,177,299,144,60,16,Right
202,316,148,61,15,206,314,150,61,15,Right
261,324,154,58,15,266,325,154,58,15,Right
269,306,164,58,14,269,307,165,58,14,Right
640,593,210,67,14,638,595,208,67,14,Left
638,550,215,63,14,638,552,215,63,14,Left
639,555,200,60,15,639,557,200,60,15,Left
537,411,179,68,20,541,410,181,64,20,Left
374,295,117,49,14,374,295,114,48,14,Left
158,184,120,51,14,159,184,116,50,14,Left
166,175,126,47,15,163,176,124,46,14,Left
149,223,129,52,16,147,222,127,50,16,Left
168,239,111,51,15,167,241,110,51,16,Left
435,449,105,76,16,440,450,105,75,15,Right
371,479,105,70,15,370,481,106,69,15,Right
399,508,97,69,15,401,511,97,68,16,Right
445,498,118,74,16,447,500,119,73,16,Left
571,536,205,74,21,572,533,205,73,22,Left
639,431,198,60,16,639,431,198,60,16,Left
636,394,184,59,16,637,394,183,59,17,Left
368,657,158,77,16,369,656,156,76,16,Right
451,691,172,92,15,453,689,169,91,14,Right
840,707,223,91,16,837,705,222,91,17,Right
1347,996,372,227,17,1346,997,373,227,17,Left
1341,986,333,227,21,1339,986,336,228,19,Left
1253,951,342,220,18,1255,951,346,221,17,Left
719,539,158,82,15,719,540,156,80,15,Right
816,539,161,83,14,816,541,159,82,15,Right
793,570,191,82,15,793,571,191,81,15,Right
1153,807,330,109,16,1147,806,331,110,16,Left
1113,811,318,111,15,1111,810,317,112,16,Left
1084,808,317,111,17,1083,808,316,113,17,Left
1041,637,181,90,29,1041,625,167,85,27,Left
324,375,142,57,18,316,375,139,58,18,Left
385,589,290,96,16,387,592,292,95,16,Right
359,659,288,93,13,357,662,291,92,14,Right
380,671,284,94,15,376,674,285,93,15,Right
418,660,288,96,16,413,661,289,96,16,Right
648,509,205,65,14,648,510,206,65,14,Left
651,483,198,73,19,655,483,197,71,19,Left
653,434,160,62,14,653,433,162,63,14,Left
478,398,199,64,21,474,398,200,64,21,Left
455,204,135,58,17,449,204,134,59,17,Left
348,429,168,64,14,350,431,167,63,14,Right
332,439,155,65,15,335,441,155,65,15,Right
359,438,152,67,16,360,439,152,67,16,Right
377,403,148,66,16,379,403,148,67,16,Right
435,410,132,63,15,437,410,133,64,15,Right
322,170,133,60,15,321,165,133,61,15,Right
329,162,108,69,17,332,161,109,70,18,Right
362,192,119,63,15,364,194,118,63,15,Right
324,279,124,69,14,327,280,123,70,14,Right
372,285,125,68,16,372,287,124,68,16,Right
1105,949,273,93,15,1106,948,270,91,15,Left
1312,992,302,112,23,1304,996,306,115,25,Left
1827,1051,309,87,17,1824,1052,306,86,17,Left
1712,900,204,62,19,1711,902,203,62,18,Left
1665,726,233,60,21,1663,725,226,59,19,Left
1003,381,203,94,32,999,375,199,90,30,Left
318,173,142,54,16,321,175,143,54,17,Left
227,183,115,54,17,226,185,114,55,17,Left
137,174,143,56,15,139,175,142,56,15,Left
619,534,218,98,25,622,534,218,97,25,Right
680,541,221,85,18,680,540,216,87,19,Right
704,545,219,82,15,701,543,218,83,15,Right
524,527,202,91,20,526,525,200,91,18,Right
502,506,161,69,16,507,503,156,69,16,Right
356,334,191,55,16,356,332,188,56,16,Right
272,313,167,54,16,274,311,163,53,16,Right
272,399,161,58,16,275,398,157,56,16,Right
278,402,205,61,15,279,402,201,62,16,Right
233,330,199,68,17,232,328,198,67,17,Right
1018,748,223,148,23,1019,749,222,149,23,Left
1033,718,219,140,18,1035,719,221,139,18,Left
