DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
3211,2205,1021,692,1390,3076,2160,979,687,1432,3274,2154,973,696,1580,3053,2201,1019,684,1546,Left
3190,2189,1028,674,1397,3021,2113,992,632,1441,3130,2071,991,604,1586,2931,2098,1039,578,1549,Left
2017,1553,494,516,1311,1652,1556,486,510,1357,1824,1550,481,499,1504,1696,1534,457,472,1469,Left
1773,1409,476,416,1049,1451,1363,418,390,1088,1655,1329,401,382,1197,1528,1333,428,392,1162,Left
505,57,68,28,10,189,56,67,27,10,518,56,66,28,10,182,59,68,29,10,Forward
3328,1584,1073,617,1108,2795,1622,1107,621,1164,2986,1656,1122,645,1276,2887,1620,1051,625,1243,Forward
3543,1706,1062,573,1408,3158,1736,1145,551,1467,3269,1768,1204,583,1600,3283,1735,1180,586,1558,Forward
3461,1701,1059,573,1409,3099,1731,1138,552,1466,3280,1762,1194,587,1600,3159,1730,1172,588,1558,Forward
3419,1754,1083,577,1419,3143,1778,1163,554,1479,3498,1804,1215,589,1614,3133,1779,1191,592,1569,Forward
2850,977,859,893,1412,2630,1009,942,899,1469,2818,1037,1026,951,1601,2596,1000,1045,947,1553,Forward
1933,1468,1006,930,1013,1938,1449,1073,997,936,2212,1474,1171,1096,1012,1807,1463,1160,1090,1029,Backward
1831,1284,987,916,1248,1474,1229,1009,990,1159,1779,1258,1123,1097,1218,1570,1259,1117,1098,1216,Backward
1716,1302,990,915,1247,1485,1253,1010,990,1157,1802,1278,1127,1097,1216,1475,1272,1119,1100,1215,Backward
1705,1295,986,888,1209,1477,1264,1041,959,1118,1799,1287,1138,1067,1180,1482,1278,1126,1068,1178,Backward
1310,488,222,263,1062,1098,352,220,389,959,1445,355,316,532,1000,1041,409,317,558,1004,Backward
806,202,64,70,128,486,205,68,55,132,804,199,84,44,148,482,205,94,34,144,Backward
548,117,54,32,13,208,114,52,30,12,543,115,55,30,13,223,113,55,29,13,Backward
4194,2775,976,423,924,3710,2862,1027,460,945,3643,2905,1068,485,1043,3869,2834,1008,455,1020,Right
4652,3033,603,418,1108,4647,3087,618,465,1128,4765,3101,629,485,1241,4620,3041,620,456,1220,Right
4864,3063,746,614,1727,4830,3146,814,682,1775,4949,3178,867,720,1956,4792,3104,820,680,1909,Right
4510,3094,863,696,2236,4436,3185,909,750,2311,4462,3224,954,791,2544,4418,3159,909,756,2475,Right
4906,1959,713,678,2461,5033,2033,736,736,2543,5124,2109,785,810,2805,5067,2061,750,809,2730,Right
3198,1513,668,656,2340,3144,1543,562,652,2414,3130,1569,546,708,2670,3164,1546,566,737,2609,Right
1615,1221,792,691,2188,1609,1311,790,677,2263,1640,1420,806,737,2498,1711,1471,806,753,2436,Right
2027,1197,963,841,2602,1977,1168,980,910,2671,1966,1152,995,968,2947,2058,1108,937,932,2882,Right
2827,1534,1001,785,2225,2443,1579,1013,826,2293,2296,1594,1011,855,2528,2485,1553,954,810,2465,Left
2851,1413,960,769,1993,2530,1455,925,803,2062,2578,1460,877,831,2267,2637,1406,800,779,2208,Left
2560,1337,789,409,1542,2148,1374,731,418,1596,2443,1406,710,502,1765,2194,1449,709,555,1722,Left
2284,1315,883,393,1218,2077,1308,832,432,1247,2147,1295,798,486,1365,2269,1258,750,499,1328,Left
2509,1198,745,444,1540,2187,1292,677,534,1578,2475,1361,640,623,1727,2217,1335,595,626,1682,Left
2404,1396,946,490,1699,2158,1455,852,558,1739,2269,1497,783,643,1906,2152,1468,699,654,1860,Left
2773,1610,1048,572,1837,2610,1647,985,636,1879,2744,1672,938,713,2062,2592,1617,884,714,2012,Left
2726,1652,1062,591,1882,2661,1739,1014,646,1929,2796,1791,978,722,2116,2598,1721,902,733,2062,Left
2505,1538,886,586,1616,2414,1552,882,580,1645,2580,1555,878,601,1807,2311,1524,850,603,1765,Left
2980,2200,1212,634,1181,2764,2228,1247,657,1201,2918,2229,1262,679,1327,2701,2180,1228,660,1304,Forward
3040,2212,1240,636,1097,2744,2254,1268,657,1112,2962,2264,1277,668,1235,2696,2215,1243,647,1218,Forward
2977,2162,1189,596,940,2672,2234,1217,621,960,2966,2263,1226,637,1055,2750,2190,1194,616,1033,Forward
2968,2112,1346,803,382,2575,2094,1351,837,399,2887,2075,1343,844,454,2618,2095,1335,802,440,Forward
1087,116,82,26,11,583,118,82,25,11,907,119,83,25,11,762,120,87,27,11,Forward
547,61,62,32,16,224,60,59,31,16,546,61,59,32,17,223,62,64,33,18,Forward
825,433,219,165,258,569,432,219,175,267,882,431,216,181,295,511,428,204,177,289,Forward
1042,445,179,169,260,650,451,184,177,268,949,451,187,182,296,699,445,179,177,289,Forward
1081,447,193,196,275,696,453,195,203,285,1004,455,195,206,318,742,449,185,199,312,Forward
1627,902,619,399,984,1249,942,637,424,1011,1354,966,648,442,1124,1202,926,624,424,1102,Forward
2521,1444,796,585,1477,2218,1486,848,598,1509,2399,1520,891,617,1682,2241,1505,869,601,1655,Forward
