DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
4094,2582,1257,982,1139,4116,2606,1312,1035,1187,4139,2665,1403,1114,1291,3933,2630,1420,1098,1243,Left
3848,2444,1149,975,1087,3788,2472,1116,975,1146,3836,2525,1138,1006,1248,3714,2465,1122,967,1204,Left
3224,2146,958,620,747,2823,2239,973,650,805,2949,2283,1008,688,873,3004,2168,970,666,817,Left
1165,1273,592,305,674,942,1209,591,285,692,1220,1121,589,269,773,894,1029,550,258,766,Forward
1147,1354,574,293,726,887,1302,562,292,733,1162,1218,551,308,819,847,1119,510,308,813,Forward
1604,1326,746,475,1159,1228,1273,757,474,1184,1541,1186,760,466,1319,1326,1050,705,428,1300,Forward
1558,1433,1002,591,1472,1229,1359,1002,634,1508,1513,1255,999,659,1677,1207,1133,962,599,1648,Backward
1635,1749,1071,698,1996,1711,1699,1067,754,2045,1755,1664,1080,810,2281,1592,1593,1018,784,2250,Backward
1288,1057,830,678,2028,1242,1072,867,711,2066,1260,1113,921,742,2286,1144,1107,890,698,2246,Backward
953,648,510,604,1758,717,656,533,625,1798,1032,658,538,628,1997,746,639,501,577,1960,Backward
918,293,161,274,848,622,313,195,303,873,975,344,234,324,967,676,341,234,320,948,Backward
622,161,97,30,12,240,156,96,28,12,572,158,99,29,12,287,166,101,30,12,Backward
528,119,91,29,12,181,122,86,30,12,523,122,92,29,12,202,123,92,31,13,Backward
518,117,67,24,13,177,114,64,22,12,508,117,70,21,12,188,123,66,24,13,Backward
4288,3251,1548,299,531,3992,3316,1595,307,540,4136,3336,1615,311,605,4000,3263,1570,304,594,Right
4419,3265,1549,297,531,4033,3319,1593,306,540,4338,3331,1610,311,605,3997,3270,1569,303,594,Right
4506,2710,1532,763,243,4006,2689,1521,761,262,4279,2647,1495,750,283,4195,2587,1455,732,288,Right
730,165,118,51,21,456,165,116,50,21,787,160,114,52,21,403,154,112,53,22,Right
476,82,54,24,11,151,78,51,24,10,484,79,52,25,10,146,82,55,25,10,Right
478,70,62,26,37,154,65,60,26,41,487,66,61,27,45,151,68,62,27,41,Right
698,431,353,276,581,289,392,350,269,616,602,364,353,274,684,252,303,320,260,669,Right
1568,2224,1807,671,2081,1268,2269,1834,696,2154,1352,2350,1930,762,2357,1228,2321,1919,778,2281,Left
1485,2205,1727,750,2164,1272,2216,1734,822,2219,1321,2269,1828,910,2434,1278,2240,1828,924,2373,Forward
650,950,718,1266,2435,581,800,677,1288,2525,613,762,720,1366,2788,720,756,732,1341,2711,Forward
656,983,636,1221,2394,577,807,671,1303,2485,536,719,748,1458,2758,523,674,742,1473,2690,Forward
995,927,926,1272,2215,1023,928,1129,1410,2262,1070,1012,1290,1568,2497,1059,1005,1259,1555,2453,Forward
1004,1324,710,1283,2276,1081,1449,867,1381,2307,1195,1558,1022,1531,2547,1295,1566,1031,1533,2499,Forward
1377,1380,788,1264,2384,1620,1519,980,1370,2429,1814,1650,1147,1531,2674,1861,1657,1139,1533,2619,Forward
1351,1373,818,1259,2435,1586,1494,1025,1371,2497,1774,1610,1208,1542,2754,1815,1608,1206,1553,2692,Forward
1602,1518,634,969,2678,1851,1662,785,1099,2744,2039,1792,935,1252,3026,2067,1783,930,1250,2954,Forward
1574,1589,844,925,2742,1776,1712,855,1057,2808,1982,1809,968,1229,3102,2040,1792,977,1241,3031,Forward
1721,1579,706,859,2734,1803,1729,723,886,2785,1891,1838,773,974,3083,1956,1776,757,965,3015,Forward
1660,1621,763,917,2753,1756,1790,819,961,2807,1879,1898,879,1047,3104,1930,1832,857,1029,3034,Forward
1197,1244,934,757,2389,1241,1194,1032,807,2435,1370,1268,1131,909,2627,1507,1340,1116,914,2513,Backward
1114,1164,871,943,2806,1085,1071,968,940,2848,1211,1145,1106,1037,3079,1288,1224,1160,1057,2965,Backward
789,929,950,667,2677,654,632,978,610,2751,761,588,1011,709,3000,908,689,1006,783,2889,Right
751,693,713,585,2298,865,766,832,621,2370,955,840,907,677,2625,986,868,910,675,2557,Right
1556,1474,809,466,1821,1329,1510,914,519,1874,1419,1555,977,568,2077,1345,1555,974,571,2030,Right
4163,2572,663,436,1195,3879,2639,690,480,1216,4024,2661,704,507,1347,3916,2624,686,492,1322,Left
4333,2518,753,417,1230,4315,2595,781,450,1258,4456,2632,807,483,1380,4256,2603,797,487,1344,Left
3141,1618,782,376,1081,3168,1615,793,383,1108,3330,1616,814,409,1213,3143,1668,854,441,1179,Left
2693,1420,997,610,1398,2627,1384,1201,549,1451,2866,1368,1384,526,1617,3020,1388,1485,519,1585,Left
3964,2738,825,406,1010,3771,2826,896,403,1054,4016,2892,954,395,1189,3612,2894,987,365,1169,Left
