DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, DeltaForward, ThetaForward, AlphaForward, BetaForward, GammaForward, DeltaBack, ThetaBack, AlphaBack, BetaBack, GammaBack, Direction
2877,1764,832,413,1041,2714,1771,869,426,1062,2909,1764,888,437,1179,2659,1749,846,418,1158,Right
2953,1717,855,387,1044,2624,1758,885,407,1066,2769,1772,900,432,1183,2584,1737,859,428,1161,Right
3103,1716,845,395,1011,2647,1760,875,386,1051,2875,1777,891,384,1168,2704,1740,856,378,1145,Right
2858,1625,890,371,871,2494,1673,934,372,887,2804,1697,949,361,987,2534,1656,889,344,970,Right
1448,464,217,114,41,1250,462,218,114,40,1573,461,221,115,41,1097,460,222,116,41,Right
602,104,67,30,11,317,101,63,29,11,650,101,64,29,10,269,104,67,30,11,Right
462,68,76,26,11,132,66,73,26,10,465,65,73,26,10,128,68,77,28,11,Right
464,91,64,28,11,129,89,61,26,11,462,88,61,26,11,131,91,64,28,11,Right
4734,3215,1451,312,631,4258,3272,1521,332,641,4442,3302,1563,347,718,4402,3241,1494,326,707,Left
4515,3289,1386,320,630,4274,3345,1443,325,639,4608,3375,1476,332,717,4207,3317,1421,324,707,Left
4549,3248,1396,312,630,4219,3333,1450,322,639,4387,3382,1482,330,717,4241,3293,1431,319,706,Left
4652,3255,1405,310,630,4255,3329,1452,322,639,4570,3368,1480,331,717,4247,3293,1434,318,706,Left
4598,3192,1449,307,630,4268,3327,1458,322,639,4583,3405,1463,334,717,4278,3267,1456,317,707,Left
2517,930,413,207,93,2563,935,415,208,92,2891,936,424,207,101,2355,935,420,207,100,Left
761,330,170,77,69,502,330,170,79,68,832,328,171,79,79,426,329,171,78,79,Left
673,329,162,78,69,343,328,162,79,68,672,324,164,80,79,346,327,164,78,79,Left
684,332,169,80,70,363,334,170,81,68,697,327,171,82,79,355,330,171,80,79,Left
4725,3933,2019,529,1067,4269,4023,2081,556,1084,4385,4054,2114,572,1210,4362,3967,2043,552,1193,Forward
4578,3875,2019,580,1541,4581,3963,2051,628,1577,4798,3996,2069,705,1738,4569,3923,1998,731,1705,Forward
4548,3946,2069,704,2114,4405,4043,2092,794,2175,4614,4083,2111,909,2405,4517,4020,2037,934,2352,Forward
4383,3927,1969,757,2431,4321,4066,2005,881,2495,4444,4140,2032,1033,2752,4448,4076,1950,1074,2691,Forward
3670,1627,1032,704,2742,3811,1746,988,885,2813,3904,1839,986,1040,3095,3643,1835,943,1057,3019,Forward
2037,1115,735,708,2658,2039,987,894,900,2738,2041,927,1056,1074,3026,2051,932,1122,1100,2957,Forward
1385,490,430,753,2729,1399,646,431,881,2800,1449,789,517,1012,3088,1517,847,544,1025,3019,Backward
1050,389,300,622,2363,908,478,246,623,2424,983,610,355,694,2681,963,694,413,726,2618,Backward
1187,421,456,622,2153,1124,516,335,559,2214,1195,662,306,610,2449,1027,732,343,654,2396,Backward
981,594,437,601,1588,841,451,311,546,1697,871,374,272,573,1912,475,337,291,576,1882,Backward
3035,2152,1108,522,1356,2790,2203,1164,553,1377,2959,2219,1190,574,1526,2817,2166,1144,555,1501,Right
3054,2106,1085,497,1133,2819,2158,1123,512,1150,2933,2175,1137,525,1282,2833,2116,1100,511,1262,Right
3073,2124,1058,480,1048,2762,2151,1102,497,1069,2998,2153,1120,509,1190,2715,2120,1084,491,1169,Right
3155,2078,1041,451,958,2771,2121,1085,469,969,3093,2133,1105,490,1075,2821,2075,1063,477,1055,Right
3120,2161,959,371,742,2796,2131,1021,396,751,3107,2096,1049,414,834,2775,2102,974,401,821,Right
1320,449,243,105,39,1003,445,241,105,39,1329,441,242,106,38,969,440,245,106,38,Right
579,89,59,25,11,294,86,55,24,10,628,88,57,24,10,244,88,61,25,10,Right
516,71,66,26,10,176,69,63,25,10,512,70,65,24,10,184,72,68,26,10,Left
1918,3217,2512,754,421,1627,3278,2511,784,422,1987,3317,2501,804,469,1705,3329,2478,782,464,Left
4577,3532,1793,785,403,4320,3623,1857,814,409,4434,3671,1893,834,459,4334,3578,1827,804,452,Left
4427,3564,1789,784,402,4172,3635,1862,814,409,4297,3670,1905,834,459,4133,3597,1829,804,452,Left
4479,3541,1804,784,402,4184,3641,1858,815,409,4449,3695,1889,835,459,4112,3593,1832,804,452,Left
4416,3569,1803,784,402,4201,3644,1863,813,409,4520,3684,1897,831,459,4099,3607,1833,803,452,Forward
4330,3242,1323,492,592,4441,3295,1314,478,602,4533,3315,1308,472,666,4391,3238,1284,477,657,Forward
4341,2923,1162,386,582,4017,2966,1177,391,593,4179,2977,1184,398,660,4033,2933,1156,390,649,Forward
4218,2881,1121,373,579,3909,2938,1148,385,592,4062,2956,1164,396,660,3922,2895,1128,380,648,Forward
4334,2884,1117,373,579,3915,2947,1151,384,592,4151,2969,1170,395,660,3919,2901,1128,380,648,Forward
4266,2884,1138,372,579,3953,2939,1163,383,592,4285,2954,1177,394,660,3919,2895,1144,379,647,Forward
2901,1340,629,296,109,2791,1329,620,293,108,3122,1310,611,289,107,2604,1295,603,286,105,Forward
1000,263,152,68,26,590,263,151,67,26,917,263,148,67,26,648,263,150,67,26,Forward
522,105,55,27,12,170,102,52,26,12,502,101,52,26,12,193,104,55,27,12,Forward
470,128,92,31,22,145,126,90,30,21,477,125,91,30,24,138,128,93,31,24,Forward
