DeltaRight, ThetaRight, AlphaRight, BetaRight, GammaRight, DeltaLeft, ThetaLeft, AlphaLeft, BetaLeft, GammaLeft, Direction
3036,815,418,185,69,3027,813,419,184,68,Left
1320,294,195,75,23,1323,287,194,74,23,Left
586,291,147,59,21,579,286,146,58,20,Left
464,403,182,114,28,467,409,184,117,25,Right
4427,4312,1229,622,72,4443,4308,1224,625,73,Right
4569,4368,1221,627,66,4575,4368,1222,629,66,Right
4753,4432,1170,625,53,4752,4432,1169,627,55,Left
4753,4432,1170,625,53,4752,4432,1169,627,55,Left
2297,939,451,180,68,2275,936,452,175,68,Left
1240,778,349,135,28,1231,781,346,138,30,Left
878,611,272,90,19,878,610,273,89,19,Left
537,350,239,77,18,536,352,241,77,18,Left
331,263,140,63,17,330,266,140,63,17,Left
258,253,82,63,16,257,255,80,62,17,Left
212,225,98,66,18,214,230,97,65,18,Left
197,314,155,67,17,198,315,155,66,17,Left
149,398,157,65,17,152,398,155,65,17,Left
420,819,428,137,23,427,820,425,137,22,Right
448,823,424,137,20,454,821,424,136,19,Right
555,740,453,135,19,557,740,452,135,19,Right
555,740,453,135,19,557,740,452,135,19,Right
578,740,471,138,20,583,739,469,138,19,Right
592,762,462,139,19,595,761,463,137,18,Right
561,771,454,136,19,562,771,454,136,19,Right
476,435,247,71,26,471,428,247,71,24,Right
607,700,288,144,19,611,700,291,143,19,Left
651,695,302,145,21,653,696,303,145,21,Left
554,751,283,146,18,551,751,284,145,18,Left
565,762,270,143,17,565,763,271,142,17,Left
318,240,149,65,18,314,241,147,66,19,Left
173,258,138,62,18,171,263,139,62,18,Left
303,705,468,104,18,304,707,470,103,18,Right
1525,962,511,108,18,1525,964,513,106,18,Right
1568,1131,490,112,17,1568,1134,492,112,17,Right
1611,1275,651,151,37,1602,1279,654,150,37,Right
1939,1583,632,149,25,1939,1588,630,148,25,Right
2167,1430,482,151,37,2174,1431,477,150,37,Right
1601,1400,545,193,36,1593,1400,548,194,36,Left
1601,1400,545,193,36,1593,1400,548,194,36,Left
1326,1239,522,177,34,1323,1237,523,177,35,Left
1257,1076,474,167,21,1256,1079,473,166,21,Left
1259,648,426,128,20,1254,646,427,128,20,Left
468,176,108,58,18,471,176,106,59,18,Left
316,185,139,63,17,315,183,141,62,17,Left
932,854,388,100,18,929,858,386,102,19,Right
932,854,388,100,18,929,858,386,102,19,Right
1478,1227,553,147,26,1483,1223,552,142,26,Right
1683,1325,550,152,24,1684,1322,552,150,24,Right
1707,1221,570,179,36,1711,1217,565,176,36,Right
1616,1325,586,161,24,1615,1321,586,160,24,Right
1810,1062,479,142,20,1811,1062,480,142,19,Right
1788,1054,414,123,20,1785,1052,413,124,21,Left
1742,1018,352,129,22,1741,1018,352,128,23,Left
1493,945,293,141,32,1492,949,285,141,32,Left
873,654,332,104,34,866,645,338,100,34,Left
381,308,120,70,18,381,308,119,70,18,Left
307,144,151,63,16,305,142,148,62,17,Left
248,161,159,61,15,248,161,158,60,16,Left
257,157,137,63,15,255,156,138,61,15,Left
237,276,127,90,16,234,276,130,89,18,Right
228,269,146,94,23,226,267,151,94,23,Right
705,458,249,82,18,702,457,251,81,17,Right
975,720,523,166,18,979,719,524,164,18,Right
1353,1403,780,138,23,1351,1408,783,137,23,Right
1217,1384,734,136,22,1211,1392,738,135,22,Left
1279,1044,686,214,64,1293,1017,674,207,63,Left
584,469,174,83,19,583,467,174,84,19,Left
294,365,102,60,19,290,364,103,60,19,Left
167,250,83,55,18,166,250,85,56,18,Left
178,192,78,60,18,177,192,81,60,18,Left
170,286,179,73,16,169,287,180,75,17,Right
459,551,162,71,17,456,547,163,72,17,Right
454,572,177,70,18,455,567,178,71,18,Right
440,577,163,72,18,440,573,163,72,17,Right
451,567,129,70,18,451,562,127,70,17,Right
382,217,101,63,17,379,214,101,62,18,Right
287,156,116,66,17,287,155,118,65,17,Right
259,181,148,75,18,257,180,153,74,19,Right
186,306,141,81,18,187,307,144,82,18,Left
224,306,160,76,17,224,307,162,76,17,Left
206,319,174,71,16,207,321,173,71,16,Left
229,316,185,61,18,229,317,183,62,18,Left
230,283,202,63,18,229,285,200,64,19,Left
198,256,202,53,17,202,255,201,52,18,Left
202,224,125,64,17,203,223,122,63,17,Right
220,297,111,64,16,219,295,110,64,16,Right
262,299,126,67,17,262,299,124,67,16,Right
269,344,137,67,19,265,342,137,67,18,Right
242,332,146,66,18,242,331,146,65,18,Right
198,226,124,70,19,198,225,122,69,19,Right
187,191,143,58,20,186,191,140,56,19,Right
199,174,103,59,19,199,174,100,57,19,Right
207,206,137,63,17,207,207,131,62,17,Right
229,234,144,63,18,231,234,140,63,18,Right
197,399,149,67,17,199,398,147,68,17,Left
206,353,131,57,17,208,353,130,58,18,Left
216,369,119,57,18,215,371,120,58,18,Left
173,395,106,61,18,172,397,109,62,18,Left
156,201,129,62,17,155,202,132,62,17,Right
184,213,127,69,19,182,215,126,69,19,Right
193,207,113,72,18,196,207,111,72,18,Right
209,158,117,68,17,208,159,114,69,16,Right
267,226,133,68,16,266,227,132,69,16,Right
261,227,120,62,15,263,229,119,64,15,Right
247,247,119,61,16,248,247,120,63,16,Right
246,267,192,67,17,246,268,192,68,16,Right
205,260,154,65,20,203,259,153,67,20,Right
213,216,169,69,17,212,215,169,69,17,Left
301,223,141,69,17,302,220,140,69,17,Left
283,218,144,70,18,284,218,143,69,18,Left
328,249,132,67,18,329,247,133,67,18,Left
328,191,137,82,19,328,191,138,83,19,Left
265,242,104,82,17,268,243,107,82,17,Left
183,240,144,82,15,181,241,144,82,15,Right
183,240,144,82,15,181,241,144,82,15,Right
159,239,168,86,19,159,242,169,86,19,Right
159,239,168,86,19,159,242,169,86,19,Right
169,249,157,74,17,169,251,157,73,17,Right
289,310,148,70,18,289,311,149,71,18,Right
287,315,148,67,17,288,315,148,67,18,Right
296,293,142,66,17,295,293,143,66,17,Right
287,251,168,64,18,285,252,169,66,18,Left
632,438,169,62,18,635,437,168,63,18,Left
920,691,187,77,21,916,691,186,78,21,Left
898,745,172,74,20,895,745,172,74,19,Left
929,748,167,73,19,925,747,168,74,19,Left
289,294,113,77,19,287,291,115,76,20,Right
288,231,105,73,18,287,230,105,72,18,Right
257,226,120,69,18,257,229,118,70,18,Right
278,215,101,74,17,277,217,102,74,17,Right
312,231,124,72,17,313,230,123,72,16,Left
286,207,116,73,18,286,206,116,74,18,Left
286,207,116,73,18,286,206,116,74,18,Left
314,296,117,78,18,316,296,118,79,17,Left
309,297,135,74,17,310,297,137,74,17,Left
318,279,137,66,18,318,281,134,66,19,Left
231,248,110,65,18,232,250,106,66,19,Left
209,287,107,67,19,209,288,103,67,19,Left
270,207,101,57,17,267,210,100,57,17,Right
258,178,104,62,17,253,176,103,63,16,Right
247,182,133,69,17,248,182,137,70,16,Right
265,143,98,62,17,265,140,100,63,16,Right
233,157,125,67,19,232,156,130,68,18,Right
246,209,157,59,19,250,208,160,61,19,Right
262,241,134,71,15,260,238,129,71,16,Left
254,241,190,69,17,252,240,187,68,18,Left
181,232,178,67,17,181,231,172,67,17,Left
196,256,214,71,19,202,253,209,71,19,Left
235,178,132,70,22,238,179,128,69,21,Left
260,189,104,70,18,261,188,101,70,17,Left
216,202,100,64,17,217,204,97,64,17,Left
248,196,86,60,18,246,197,83,60,18,Left
261,151,104,57,17,260,153,102,58,17,Left
259,141,126,57,18,255,144,126,57,17,Left
215,185,150,67,18,214,184,149,67,18,Right
215,185,150,67,18,214,184,149,67,18,Right
216,206,143,76,18,216,202,144,75,18,Right
211,207,161,74,18,212,204,161,73,18,Right
194,210,147,75,18,194,207,148,75,18,Right
222,237,158,76,18,229,234,157,75,18,Right
172,301,127,77,19,169,301,128,77,18,Right
177,328,124,79,17,177,328,119,78,18,Left
206,321,115,77,17,206,322,113,77,17,Left
207,350,152,76,17,209,348,149,76,17,Left
213,312,160,71,18,214,312,159,71,18,Left
219,248,147,68,19,218,247,148,68,19,Left
233,251,161,66,17,232,251,159,67,17,Right
212,235,106,61,19,206,235,105,61,19,Right
212,235,106,61,19,206,235,105,61,19,Right
