Delta,Theta,Alpha,Beta,Gamma, direction
 862 1147, 1227 1419, 1305 1729, 3368 3463, 4581 4523, Right
 911 1116, 1266 1325, 1649 1468, 3411 3514, 4493 4383, Right
1306 1228, 1825 1627, 2546 2228, 3298 3440, 4597 4556, Right
1138 1391, 1299 1566, 2006 1975, 3507 3541, 4628 4567, Right
1099 1234, 1536 1550, 2099 2119, 3578 3539, 4443 4388, Right
1129 1304, 1563 1776, 2048 2014, 3243 3250, 4331 4286, Right
1267 1378, 1910 1970, 2010 1795, 3472 3451, 4472 4457, Right
1011 1154, 1510 1660, 2229 1671, 3677 3858, 4519 4472, Right
1208 1199, 1903 2055, 2471 2116, 3761 3805, 4402 4347, Right
1011 1135, 1461 1346, 2215 2255, 3877 3795, 4397 4407, Right
1047  964, 1534 1290, 1729 1655, 3936 3729, 4324 4352, Right
1289 1203, 1587 1527, 1933 1729, 3571 3478, 4305 4332, Right
1280 1280, 1700 1427, 2221 2150, 3300 3210, 4475 4507, Right
1166 1173, 1873 1661, 1851 1526, 3211 3099, 4423 4438, Right
1220 1206, 2090 1912, 1435 1513, 3527 3389, 4395 4427, Right
1258 1125, 1849 1626, 1337 1496, 3580 3405, 4590 4686, Right
1234 1043, 1915 1650, 2145 1877, 3745 3710, 4591 4642, Right
1264 1222, 2009 1816, 2552 2437, 3229 3225, 4375 4407, Right
1278 1150, 2019 1855, 2401 2441, 3415 3334, 4341 4368, Right
1261 1045, 1743 1475, 1859 1850, 3301 3086, 4386 4396, Right
1317 1093, 1829 1637, 2325 2044, 3486 3253, 4404 4428, Right
1493 1280, 1867 1617, 2657 2757, 3231 3161, 4424 4458, Right
1430 1345, 1643 1591, 2250 2217, 3281 3242, 4519 4559, Right
1337 1288, 1620 1602, 1772 1825, 3441 3430, 4447 4461, Right
1594 1260, 1699 1646, 2632 2648, 3256 3195, 4401 4429, Right
1784 1546, 1466 1476, 2232 2172, 3203 3199, 4393 4444, Left
1845 1572, 1484 1505, 2219 2035, 3021 2950, 4386 4432, Left
1945 1651, 1553 1520, 1931 1923, 2965 2789, 4343 4352, Left
1765 1535, 1849 1817, 1459 1506, 2966 2878, 4422 4435, Left
1748 1603, 1579 1384, 1807 1839, 2931 2838, 4519 4483, Left
1817 1585, 1712 1666, 1962 1933, 2917 2867, 4574 4594, Left
1815 1641, 2039 1745, 1643 1764, 3128 3114, 4585 4573, Left
1781 1575, 1989 1767, 1700 1721, 3003 2949, 4599 4640, Left
1638 1451, 2121 1871, 1822 1807, 3021 2984, 4558 4562, Left
1581 1469, 2136 1846, 2103 2019, 2905 2987, 4470 4461, Left
1641 1815, 1868 1789, 1766 1848, 3030 3072, 4365 4364, Left
1264 1263, 1787 1803, 2273 2183, 3090 3119, 4487 4489, Left
1322 1408, 1954 1979, 2170 2239, 3043 3084, 4526 4510, Left
1303 1267, 1656 1601, 2358 2281, 3336 3402, 4472 4472, Left
1181 1126, 1730 1784, 1710 1584, 3187 3214, 4630 4604, Left
1241 1161,  988 1284, 1957 1998, 3235 3254, 4616 4582, Left
1000 1392,  985 1214, 2505 2510, 3065 3128, 4554 4502, Left
 962 1158, 812 966, 1741 1933, 3195 3308, 4544 4556, Left
